variable,mean,min,max,nan_%
TM,-5.6811438,-54.533268,32.958652,65.8
TX,-1.8351551,-51.929195,38.93954,65.8
TN,-9.399598,-57.341923,26.67861,65.8
TNN,-29.58385,-77.49593,23.523539,65.8
TXX,16.827703,-28.375647,50.23733,65.8
TVAR,108.31594,0.21279196,543.15735,65.8
DTR,7.564442,1.6559232,17.541601,65.8
CN10,32.20032,6.0,71.5,65.8
CD10,33.90655,10.666667,78.666664,65.8
WN90,52.347717,2.8333333,154.83333,65.8
WD90,50.875397,7.0,159.5,65.8
LDHW,7.926579,2.1666667,46.333332,65.8
TDHW,5.843007,-43.150578,43.182777,65.8
NDHW,6.3037543,0.8333333,13.333333,65.8
DDHW,30.956743,3.5,114.5,65.8
NNHW,6.0763035,0.0,16.0,65.8
DNHW,29.683992,0.0,117.166664,65.8
TNHW,-2.1565642,-47.84972,29.480362,65.8
LNHW,7.603637,0.0,29.5,65.8
TDCW,-11.715574,-65.98042,36.413033,65.8
DDCW,17.207207,0.0,60.333332,65.8
LDCW,6.063315,0.0,42.666668,65.8
NDCW,3.6554887,0.0,10.0,65.8
LNCW,5.728875,0.0,35.333332,65.8
DNCW,16.72673,0.0,57.5,65.8
NNCW,3.6446455,0.0,8.833333,65.8
TNCW,-18.946886,-69.65906,24.288916,65.8
CSD,7.1091175,0.0,51.5,65.8
WSD,14.879907,0.0,89.5,65.8
PA,0.0016249571,2.662924e-06,0.048328236,65.8
PWT,0.5569373,0.0,17.660986,65.8
W,87.20935,0.0,365.5,65.8
PWA,0.0046754493,0.0010026128,0.049057264,66.3
PVAR,1.8667552e-05,8.4010643e-10,0.002790646,65.8
PWVAR,3.6474e-05,1.79156e-14,0.0028030619,66.8
P95WT,0.122671664,0.0,4.3377047,65.8
P99WT,0.041907188,0.0,1.2070221,65.8
CDD,86.88141,0.0,365.5,65.8
C95WD,1.2285068,0.0,4.6666665,65.8
CWD,11.919205,0.0,365.5,65.8
C99WD,0.56120324,0.0,2.5,65.8
PCWD,0.112257876,0.0,14.826215,65.8
PC99WD,0.021163553,0.0,0.30900282,65.8
PC95WD,0.030132458,0.0,0.37606886,65.8
PX1,0.026431814,0.0002848347,0.29984486,65.8
PX5,0.05333012,0.00036287805,0.69199914,65.8
PXM,0.12022614,0.00039300174,2.2624571,65.8
PNM,0.010793275,1.9105639e-05,0.6220525,65.8
TN0,199.88402,0.0,365.5,65.8
TX35,17.90823,0.0,297.33334,65.8
TX40,4.379437,0.0,162.0,65.8
TM_below_minus9,155.8391,0.0,365.5,65.8
TM_minus6_to_minus9,9.170019,0.0,83.0,65.8
TM_minus3_to_minus6,9.2686615,0.0,111.0,65.8
TM_minus3_to_0,10.969817,0.0,136.0,65.8
TM_0_to_3,12.09333,0.0,236.66667,65.8
TM_3_to_6,11.390681,0.0,306.5,65.8
TM_6_to_9,12.5020275,0.0,322.5,65.8
TM_9_to_12,13.972249,0.0,318.0,65.8
TM_12_to_15,15.08728,0.0,346.0,65.8
TM_15_to_18,15.921133,0.0,345.16666,65.8
TM_18_to_21,17.56268,0.0,350.16666,65.8
TM_21_to_24,23.24751,0.0,347.33334,65.8
TM_24_to_27,30.791737,0.0,351.0,65.8
TM_27_to_30,15.397202,0.0,248.0,65.8
TM_above_30,12.286576,0.0,282.16666,65.8
P_1_to_10,71.19085,0.0,277.16666,65.8
P_10_to_20,11.771342,0.0,154.66667,65.8
P_above_20,4.2471595,0.0,223.33333,65.8
CN10_0C,20.945568,0.0,64.166664,65.8
CN10_5C,23.107124,0.0,64.166664,65.8
CN10_10C,25.184732,0.0,64.166664,65.8
CD10_10C,22.179268,0.0,62.5,65.8
CD10_15C,24.039316,0.0,62.5,65.8
CD10_20C,25.904943,0.0,65.333336,65.8
WN90_15C,19.318066,0.0,154.83333,65.8
WN90_20C,13.910793,0.0,154.83333,65.8
WN90_25C,3.9578016,0.0,98.5,65.8
WD90_25C,19.681196,0.0,159.5,65.8
WD90_30C,14.184733,0.0,146.33333,65.8
WD90_35C,6.136283,0.0,79.666664,65.8
TDHW_35C,37.999676,35.05781,45.97221,90.0
NDHW_25C,2.2268307,0.0,13.333333,65.8
LDHW_35C,1.4661136,0.0,23.0,65.8
NDHW_35C,0.71695995,0.0,9.5,65.8
LDHW_30C,2.7848668,0.0,45.0,65.8
NDHW_30C,1.5932294,0.0,13.166667,65.8
TDHW_25C,31.575895,25.195414,43.468933,80.8
LDHW_25C,3.632093,0.0,46.333332,65.8
DDHW_25C,11.829244,0.0,114.5,65.8
TDHW_30C,34.36754,30.146017,44.918957,84.8
DDHW_35C,3.8807943,0.0,66.666664,65.8
DDHW_30C,8.741595,0.0,108.666664,65.8
NNHW_20C,1.5379252,0.0,16.0,65.8
TNHW_20C,23.574396,20.166779,30.946278,86.5
NNHW_15C,2.139266,0.0,16.0,65.8
LNHW_25C,0.82872456,0.0,16.5,65.8
DNHW_15C,10.868929,0.0,117.166664,65.8
DNHW_25C,2.123915,0.0,68.333336,65.8
TNHW_15C,20.665056,15.150584,29.654974,81.2
DNHW_20C,7.984683,0.0,117.166664,65.8
LNHW_15C,3.125004,0.0,29.5,65.8
LNHW_20C,2.2065527,0.0,29.5,65.8
TNHW_25C,26.935083,25.025208,32.656506,92.6
NNHW_25C,0.43323278,0.0,11.333333,65.8
TDCW_10C,-25.651531,-65.98042,9.6981,73.9
NDCW_20C,2.913826,0.0,8.333333,65.8
TDCW_15C,-21.951094,-65.98042,14.707438,72.0
DDCW_15C,12.821418,0.0,43.5,65.8
DDCW_20C,13.542298,0.0,43.5,65.8
LDCW_20C,4.9093175,0.0,13.5,65.8
LDCW_10C,4.4393163,0.0,12.833333,65.8
TDCW_20C,-18.823938,-65.98042,19.749369,70.2
NDCW_10C,2.5579016,0.0,8.333333,65.8
NDCW_15C,2.7343557,0.0,8.333333,65.8
DDCW_10C,12.143338,0.0,43.5,65.8
LDCW_15C,4.653528,0.0,13.166667,65.8
LNCW_5C,4.5917044,0.0,11.333333,65.8
NNCW_10C,2.9312384,0.0,8.333333,65.8
LNCW_10C,4.867471,0.0,11.333333,65.8
NNCW_5C,2.7239146,0.0,8.333333,65.8
NNCW_0C,2.525658,0.0,8.333333,65.8
TNCW_10C,-25.391409,-69.65906,9.911232,69.8
TNCW_5C,-28.393173,-69.65906,4.798004,71.4
DNCW_0C,11.934037,0.0,43.666668,65.8
LNCW_0C,4.335026,0.0,11.333333,65.8
TNCW_0C,-32.28784,-69.65906,-0.29187012,73.7
DNCW_10C,13.53645,0.0,43.666668,65.8
DNCW_5C,12.711295,0.0,43.666668,65.8
CSD_20C,6.646439,0.0,41.666668,65.8
CSD_15C,6.218066,0.0,31.333334,65.8
WSD_15C,7.6573653,0.0,89.5,65.8
WSD_20C,7.0416627,0.0,89.5,65.8
CN10_wy,32.892105,9.333333,77.166664,65.8
CN5_wy,15.804776,3.1666667,46.5,65.8
CN2_5_wy,7.5789504,0.5,31.166666,65.8
CN1_wy,2.8630466,0.0,18.833334,65.8
CD10_wy,33.91007,13.666667,68.833336,65.8
CD5_wy,16.771309,3.5,48.166668,65.8
CD2_5_wy,8.150192,0.6666667,36.333332,65.8
CD1_wy,3.148282,0.0,25.666666,65.8
WN90_wy,44.770878,23.333334,125.166664,65.8
WN95_wy,24.669752,8.833333,94.166664,65.8
WN97_5_wy,13.6841955,1.5,72.833336,65.8
WN99_wy,6.436819,0.0,52.0,65.8
WD90_wy,43.264957,21.333334,134.16667,65.8
WD95_wy,23.333082,3.3333333,105.333336,65.8
WD97_5_wy,12.801895,0.16666667,78.5,65.8
WD99_wy,6.010709,0.0,59.666668,65.8
TDHW_99_wy,16.848953,-27.313513,50.0959,67.3
LDHW_99_wy,2.1803083,0.0,20.166666,65.8
LDHW_95_wy,7.6688113,0.6666667,36.666668,65.8
DDHW_99_wy,3.4736214,0.0,53.166668,65.8
DDHW_95_wy,17.09437,1.1666666,83.333336,65.8
TDHW_97_5_wy,15.73832,-29.459377,49.269215,65.8
LDHW_97_5_wy,4.4206467,0.0,30.333334,65.8
TDHW_95_wy,14.563235,-30.497444,48.629845,65.8
NDHW_99_wy,0.69736886,0.0,5.6666665,65.8
DDHW_97_5_wy,8.357533,0.0,64.666664,65.8
NDHW_97_5_wy,1.5922574,0.0,6.3333335,65.8
NDHW_95_wy,2.9093347,0.33333334,9.333333,65.8
DNHW_95_wy,17.454967,1.6666666,77.5,65.8
LNHW_99_wy,2.066013,0.0,12.833333,65.8
NNHW_99_wy,0.6996313,0.0,5.5,65.8
DNHW_99_wy,3.2634828,0.0,38.333332,65.8
NNHW_95_wy,2.928624,0.5,9.333333,65.8
LNHW_95_wy,7.903821,0.6666667,32.5,65.8
LNHW_97_5_wy,4.427284,0.0,24.833334,65.8
TNHW_97_5_wy,7.04263,-34.646,34.74883,65.8
TNHW_99_wy,8.039279,-33.441666,35.173466,67.3
NNHW_97_5_wy,1.6270489,0.0,7.8333335,65.8
TNHW_95_wy,5.994525,-35.840332,34.362816,65.8
DNHW_97_5_wy,8.400687,0.0,57.666668,65.8
NDCW_5_wy,2.0782804,0.0,5.6666665,65.8
TDCW_1_wy,-27.588795,-75.86752,28.39225,73.0
TDCW_2_5_wy,-23.596025,-73.74405,29.00245,66.8
LDCW_2_5_wy,2.7650914,0.0,17.0,65.8
TDCW_5_wy,-20.983519,-71.78861,29.631235,66.0
DDCW_1_wy,1.3129212,0.0,19.5,65.8
LDCW_1_wy,1.0419977,0.0,7.1666665,65.8
DDCW_5_wy,10.3610525,0.0,41.166668,65.8
NDCW_2_5_wy,0.9397017,0.0,4.0,65.8
LDCW_5_wy,5.230434,0.0,23.333334,65.8
NDCW_1_wy,0.3198257,0.0,3.1666667,65.8
DDCW_2_5_wy,4.239987,0.0,29.666666,65.8
TNCW_5_wy,-27.357138,-75.951614,23.527966,65.8
TNCW_1_wy,-31.570604,-79.61687,23.200935,72.3
LNCW_5_wy,5.071208,0.0,15.666667,65.8
LNCW_1_wy,1.0322106,0.0,5.3333335,65.8
LNCW_2_5_wy,2.7537456,0.0,12.0,65.8
NNCW_5_wy,2.1542485,0.0,4.6666665,65.8
DNCW_1_wy,1.3329479,0.0,12.333333,65.8
DNCW_2_5_wy,4.346389,0.0,22.833334,65.8
NNCW_1_wy,0.3330484,0.0,1.8333334,65.8
NNCW_2_5_wy,0.98660964,0.0,3.1666667,65.8
TNCW_2_5_wy,-29.366127,-77.65441,23.401571,66.2
DNCW_5_wy,10.403201,0.0,40.5,65.8
WSD_90_wy,25.142868,0.0,98.0,65.8
